sigla,nome_completo,numero,folha_score,bls_raw,bls_adj,bolognesi_raw,bolognesi_adj,indice_sintetico,faixa,classificacao,fontes_disponiveis,cor_hex
PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,16,1.0,,,0.51,5.14,3.069,1.0,Extrema-Esquerda,2,#CC0000
PCO,PARTIDO DA CAUSA OPERÁRIA,29,,,,0.55,5.47,5.467,1.0,Extrema-Esquerda,1,#8B0000
PCB,PARTIDO COMUNISTA BRASILEIRO,21,8.33,,,0.69,6.86,7.599,1.0,Extrema-Esquerda,2,#CC0000
PSOL,PARTIDO SOCIALISMO E LIBERDADE,50,10.36,-0.874,6.3,1.41,14.15,10.269,2.0,Esquerda,3,#FFCC00
UP,UNIDADE POPULAR,80,4.67,,,1.63,16.26,10.463,1.0,Extrema-Esquerda,2,#8B0000
PC do B,PARTIDO COMUNISTA DO BRASIL,65,12.5,-0.822,8.9,1.78,17.78,13.059,2.0,Esquerda,3,#CC0000
PCDOB,PARTIDO COMUNISTA DO BRASIL,65,12.5,-0.822,8.9,1.78,17.78,13.059,2.0,Esquerda,3,#CC0000
PT,PARTIDO DOS TRABALHADORES,13,11.27,-0.691,15.45,2.68,26.79,17.835,2.0,Esquerda,3,#CC0000
REDE,REDE SUSTENTABILIDADE,18,13.1,-0.555,22.25,3.69,36.92,24.09,3.0,Centro-Esquerda,3,#00AA55
PSB,PARTIDO SOCIALISTA BRASILEIRO,40,26.38,-0.427,28.65,3.59,35.89,30.308,3.0,Centro-Esquerda,3,#FFD700
PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,12,32.5,-0.356,32.2,3.86,38.55,34.417,3.0,Centro-Esquerda,3,#FF6600
PV,PARTIDO VERDE,43,21.0,-0.069,46.55,4.12,41.23,36.259,3.0,Centro-Esquerda,3,#228B22
AVANTE,AVANTE,70,43.97,,,6.47,64.73,54.348,4.0,Centro,2,#FF8C00
MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,15,43.58,0.137,56.85,6.5,64.99,55.139,4.0,Centro,3,#00AA00
SOLIDARIEDADE,SOLIDARIEDADE,77,48.04,0.19,59.5,6.01,60.07,55.87,4.0,Centro,3,#FF4500
PSD,PARTIDO SOCIAL DEMOCRÁTICO,55,43.87,0.296,64.8,6.94,69.37,59.346,4.0,Centro,3,#FF8C00
CIDADANIA,CIDADANIA,23,67.33,-0.014,49.3,6.17,61.7,59.444,4.0,Centro,3,#E91E63
MOBILIZA,MOBILIZAÇÃO NACIONAL,33,55.95,,,6.74,67.42,61.685,4.0,Centro,2,#6A5ACD
AGIR,AGIR,36,53.31,,,7.55,75.5,64.404,5.0,Centro-Direita,2,#8B0000
PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,45,75.02,0.157,57.85,6.76,67.59,66.821,5.0,Centro-Direita,3,#0000CD
PODE,PODEMOS,20,68.87,0.386,69.3,7.44,74.37,70.847,5.0,Centro-Direita,3,#191970
PRD,PARTIDO RENOVAÇÃO DEMOCRÁTICA,25,67.92,0.455,72.75,8.16,81.61,74.093,6.0,Direita,3,#00008B
PP,PROGRESSISTAS,11,65.53,0.51,75.5,8.15,81.53,74.184,5.0,Centro-Direita,3,#1E90FF
PMB,PARTIDO DA MULHER BRASILEIRA,35,77.12,,,7.29,72.92,75.019,6.0,Direita,2,#183C7C
DEMOCRATA,DEMOCRATA,35,77.12,,,7.29,72.92,75.019,6.0,Direita,2,#183C7C
REPUBLICANOS,REPUBLICANOS,10,68.81,0.55,77.5,8.33,83.33,76.548,6.0,Direita,3,#003366
UNIÃO,UNIÃO BRASIL,44,73.59,0.462,73.1,8.49,84.85,77.182,6.0,Direita,3,#003399
DC,DEMOCRACIA CRISTÃ,27,82.4,,,8.21,82.11,82.255,6.0,Direita,2,#006400
PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,28,93.6,,,7.49,74.9,84.246,7.0,Extrema-Direita,2,#006400
PL,PARTIDO LIBERAL,22,95.66,0.493,74.65,8.8,87.96,86.087,7.0,Extrema-Direita,3,#00008B
NOVO,PARTIDO NOVO,30,97.8,0.711,85.55,8.67,86.66,90.003,7.0,Extrema-Direita,3,#FF6600
MISSÃO,PARTIDO MISSÃO,99,92.08,,,,,92.08,7.0,Extrema-Direita,1,#D97706
