sigla,nome_completo,numero,folha_score,bls_raw,bls_adj,bolognesi_raw,bolognesi_adj,indice_sintetico,faixa,classificacao,fontes_disponiveis,cor_hex
PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,16,1.0,,,0.51,5.1,3.05,1.0,Extrema-Esquerda,2,#CC0000
UP,UNIDADE POPULAR,80,4.67,,,,,4.67,1.0,Extrema-Esquerda,1,#8B0000
PCB,PARTIDO COMUNISTA BRASILEIRO,21,8.33,,,0.91,9.1,8.715,1.0,Extrema-Esquerda,2,#CC0000
PSOL,PARTIDO SOCIALISMO E LIBERDADE,50,7.35,-0.874,6.3,1.28,12.8,8.816666666666666,2.0,Esquerda,3,#FFCC00
PC do B,PARTIDO COMUNISTA DO BRASIL,65,11.47,-0.822,8.900000000000002,1.92,19.2,13.190000000000003,2.0,Esquerda,3,#CC0000
PT,PARTIDO DOS TRABALHADORES,13,10.85,-0.691,15.450000000000003,2.97,29.700000000000003,18.666666666666668,2.0,Esquerda,3,#CC0000
REDE,REDE SUSTENTABILIDADE,18,14.54,-0.555,22.249999999999996,4.77,47.699999999999996,28.163333333333327,3.0,Centro-Esquerda,3,#00AA55
PSB,PARTIDO SOCIALISTA BRASILEIRO,40,27.3,-0.427,28.65,4.05,40.5,32.15,3.0,Centro-Esquerda,3,#FFD700
PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,12,29.83,-0.356,32.2,3.92,39.2,33.74333333333333,3.0,Centro-Esquerda,3,#FF6600
PV,PARTIDO VERDE,43,22.93,-0.069,46.550000000000004,5.29,52.9,40.79333333333333,3.0,Centro-Esquerda,3,#228B22
AVANTE,AVANTE,70,42.98,,,6.32,63.2,53.09,4.0,Centro,2,#FF8C00
SOLIDARIEDADE,SOLIDARIEDADE,77,42.74,0.19,59.5,6.5,65.0,55.74666666666667,4.0,Centro,3,#FF4500
CIDADANIA,CIDADANIA,23,69.57,-0.014,49.3,4.92,49.2,56.02333333333333,4.0,Centro,3,#E91E63
MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,15,52.01,0.137,56.85,7.01,70.1,59.65333333333333,4.0,Centro,3,#00AA00
MOBILIZA,MOBILIZAÇÃO NACIONAL,33,53.65,,,6.88,68.8,61.224999999999994,4.0,Centro,2,#6A5ACD
PSD,PARTIDO SOCIAL DEMOCRÁTICO,55,51.31,0.296,64.8,7.09,70.9,62.336666666666666,4.0,Centro,3,#FF8C00
PMB,PARTIDO DA MULHER BRASILEIRA,35,59.45,,,6.9,69.0,64.225,4.0,Centro,2,#4169E1
PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,45,72.52,0.157,57.85,7.11,71.10000000000001,67.15666666666668,5.0,Centro-Direita,3,#0000CD
PODE,PODEMOS,20,60.84,0.386,69.30000000000001,7.24,72.4,67.51333333333334,5.0,Centro-Direita,3,#191970
AGIR,AGIR,36,63.7,,,7.86,78.60000000000001,71.15,5.0,Centro-Direita,2,#8B0000
PP,PROGRESSISTAS,11,62.86,0.51,75.5,8.2,82.0,73.45333333333333,5.0,Centro-Direita,3,#1E90FF
REPUBLICANOS,REPUBLICANOS,10,66.75,0.55,77.5,7.88,78.8,74.35000000000001,6.0,Direita,3,#003366
UNIÃO,UNIÃO BRASIL,44,77.75,0.46199999999999997,73.1,8.34,83.4,78.08333333333333,6.0,Direita,3,#003399
PRD,PARTIDO RENOVAÇÃO DEMOCRÁTICA,25,84.34,0.455,72.75,8.55,85.5,80.86333333333333,6.0,Direita,3,#00008B
DC,DEMOCRACIA CRISTÃ,27,82.62,,,8.11,81.1,81.86,6.0,Direita,2,#006400
PL,PARTIDO LIBERAL,22,94.5,0.493,74.64999999999999,7.78,77.8,82.31666666666666,7.0,Extrema-Direita,3,#00008B
PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,28,94.35,,,7.55,75.5,84.925,7.0,Extrema-Direita,2,#006400
NOVO,PARTIDO NOVO,30,100.0,0.711,85.55,8.13,81.30000000000001,88.95,7.0,Extrema-Direita,3,#FF6600
PCO,PARTIDO DA CAUSA OPERÁRIA,29,,,,,,,,,0,#8B0000
